

ponto;localizacao;data_instalacao;cota_terreno;latitude;longitude;latitude_decimal;longitude_decimal;situacao;utme;utmn;bacia;municipio;natureza;nome;subbacia;uf;uso_agua;data_perfuracao;metodo_perfuracao;perfurador;diametro_boca_tubo_milimetros;topo;base;tipo_penetracao;condicao;tipo_captacao;data_medicao;nivel_agua;vazao;nivel_bombeando;profundidade_inicial;profundidade_final;tipo_formacao;data_teste;tipo_teste_bombeamento;metodo_interpretacao;surgencia;unidade_de_bombeamento;nivel_dinamico;nivel_estatico;vazao_especifica;coeficiente_armazenamento;vazao_livre;permeabilidade;transmissividade;vazao_estabilizacao;tipo_bomba;data_analise;data_coleta;condutividade_eletrica;cor;odor;sabor;temperatura;turbidez;solidos_sedimentaveis;solidos_suspensos;aspecto_natural;
2900021799;FAZENDA NOSSA SENHORA DE FÁTIMA;2011-08-31;760,13;121548;454544;-12,263333;-45,762222;Poço RIMAS equipado c medidor automático de nível;417108;8644202;Rio São Francisco;Luis eduardo magalhaes;Poço de monitoramento;PM 25;Rios São Francisco, Grande  e outros;BA;Sem uso;2011-05-06;Percussao;GEODRIL;101,6000;0,00;114,00;Parcial;Livre;Única;2020-02-13;31,6;;N;0,00;114,00;Formacao Urucuia;2011-08-04;Rebaixamento;;N;Bomba submersa;40,71;30,33;1,045;;;;;10,849;;2011-08-05;2011-08-04;4,20;24,00;;;25,8;3,61;;;;
2900021800;FAZENDA SÃO MIGUEL;2011-09-13;745,69;123916;453733;-12,654444;-45,625833;Poço RIMAS equipado c medidor automático de nível;432049;8600986;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 27;Rios São Francisco e Carinhanha;BA;Sem uso;2011-05-03;Percussao;GEODRIL;101,6000;0,00;51,00;Parcial;Livre;Única;2021-12-06;6,238;;N;0,00;51,00;Formacao Urucuia;2011-08-03;Rebaixamento;;N;Bomba submersa;10,57;4,82;0,957;;;;;5,5;;2011-08-05;2011-08-03;12,00;277,00;;;26,6;34,90;;;;
2900021801;FAZENDA NOVOS TEMPOS;2011-08-31;836,20;122123;460425;-12,356388;-46,073611;Poço RIMAS equipado c medidor automático de nível;383291;8633806;Rio São Francisco;Luis eduardo magalhaes;Poço de monitoramento;PM 02;Rios São Francisco, Grande  e outros;BA;Sem uso;2011-01-18;Percussao;GEODRIL;101,6000;0,00;97,50;Parcial;Livre;Única;2022-07-27;51,885;;N;0,00;103,00;Formacao Urucuia;2011-01-20;Rebaixamento;;N;Bomba submersa;47,43;45,30;2,972;;;;;6,33;;2011-01-21;2011-01-20;1,00;585,00;INODORA;BOM;26,6;81,2;;;CRISTALINO;
2900024869;FAZENDA SERTANEJA;2012-08-13;819,06;121325;460138;-12,223611;-46,027222;Poço RIMAS equipado c medidor automático de nível;388265;8648503;Rio São Francisco;Luis eduardo magalhaes;Poço de monitoramento;PM 14;Rios São Francisco, Grande  e outros;BA;Sem uso;2012-05-06;Rotopneumatico;AGUACENTER;114,3000;0,00;71,00;Parcial;Livre;Única;2022-07-21;52,75;;N;0,00;71,00;Formacao Urucuia;2012-05-29;Rebaixamento;;N;Bomba submersa;55,60;51,20;2,134;;;;;9,39;;2012-07-01;2012-07-01;4,60;94,00;;;26,5;10,6;;;;
2900024870;FAZENDA AGROBASSO;2012-08-14;753,67;121332;453830;-12,225556;-45,641667;Poço RIMAS equipado c medidor automático de nível;430205;8648417;Rio São Francisco;Barreiras;Poço de monitoramento;PM 22;Rios São Francisco, Grande  e outros;BA;Sem uso;2012-08-14;Rotopneumatico;AGUACENTER;114,3000;0,00;60,00;Parcial;Livre;Única;2021-07-15;25,049;;N;0,00;60,00;Formacao Urucuia;2012-05-28;Rebaixamento;;N;Bomba submersa;21,40;20,78;19,871;;;;;12,32;;2019-01-30;2018-10-19;5,10;;;;;;;;;
2900024871;FAZENDA SANTA HELENA;2012-08-07;733,62;121129;453533;-12,191389;-45,592500;Poço RIMAS equipado c medidor automático de nível;435546;8652208;Rio São Francisco;Barreiras;Poço de monitoramento;PM 26;Rios São Francisco, Grande  e outros;BA;Sem uso;2012-04-26;Rotopneumatico;AGUACENTER;114,3000;0,00;51,00;Parcial;Livre;Única;2021-01-27;30,353;;N;0,00;51,00;Formacao Urucuia;2012-05-28;Rebaixamento;;N;Bomba submersa;30,97;28,90;5,72;;;;;11,84;;2019-01-30;2018-10-25;6,70;;;;;3,2;;;;
2900024872;FAZENDA IRMÃOS GRATT;2012-08-13;740,68;122531;453733;-12,425278;-45,625833;Poço RIMAS equipado c medidor automático de nível;431980;8626334;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 28;Rios São Francisco, Grande  e outros;BA;Sem uso;2012-04-20;Rotopneumatico;AGUACENTER;114,3000;0,00;64,00;Parcial;Livre;Única;2021-07-16;30,083;;N;0,00;64,00;Formacao Urucuia;2012-05-24;Rebaixamento;;N;Bomba submersa;31,85;27,70;2,773;;;;;11,51;;2019-01-30;2018-10-23;6,70;;;;;97,4;;;;
2900024873;FAZENDA UEMURA;2012-08-11;765,04;123420;454554;-12,572222;-45,765000;Poço RIMAS equipado c medidor automático de nível;416900;8610045;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 29;Rios São Francisco, Grande  e outros;BA;Sem uso;2012-04-04;Rotopneumatico;AGUACENTER;114,3000;0,00;74,00;Parcial;Livre;Única;2022-07-28;27,03;;N;0,00;74,00;Formacao Urucuia;2012-05-31;Rebaixamento;;N;Bomba submersa;32,60;25,70;3,671;;;;;25,33;;2012-07-01;2012-07-01;10,50;2,00;;;27,5;1,44;;;;
2900024874;FAZENDA DURR I / ZUTTION;2012-08-10;704,21;123946;452142;-12,662778;-45,361667;Poço RIMAS equipado c medidor automático de nível;460727;8600124;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 30;Rios São Francisco, Grande  e outros;BA;Sem uso;2012-03-10;Rotopneumatico;AGUACENTER;114,3000;0,00;63,00;Parcial;Livre;Única;2022-02-11;6,354;;N;0,00;63,00;Formacao Urucuia;2012-05-22;Rebaixamento;;N;Bomba submersa;9,06;7,81;12,024;;;;;15,03;;2012-05-24;2012-05-22;3,80;4,00;;;26,4;0,85;;;;
2900024875;FAZENDA VISTA ALEGRE;2012-08-09;713,44;124700;450938;-12,783333;-45,160556;Poço RIMAS equipado c medidor automático de nível;482574;8586815;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 31;Rios São Francisco, Grande  e outros;BA;Sem uso;2012-02-27;Rotopneumatico;AGUACENTER;114,3000;0,00;80,00;Parcial;Livre;Única;2021-01-16;32,86;;N;0,00;80,00;Formacao Urucuia;2012-05-21;Rebaixamento;;N;Bomba submersa;35,30;32,50;4,425;;;;;12,39;;2012-05-22;2012-05-21;20,90;26,00;;;23,0;2,81;;;;
2900024876;FAZENDA BOM RETIRO;2012-08-09;711,67;124917;445513;-12,821389;-44,920278;Poço RIMAS equipado c medidor automático de nível;508651;8582610;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 32;Rios São Francisco, Grande  e outros;BA;Sem uso;2012-03-04;Rotopneumatico;AGUACENTER;114,3000;0,00;73,00;Parcial;Livre;Única;2021-12-09;9,65;;N;0,00;73,00;Formacao Urucuia;2012-05-21;Rebaixamento;;N;Bomba submersa;11,23;9,35;6,25;;;;;11,75;;2012-05-22;2012-05-21;18,70;82,00;;;26,3;6,86;;;;
2900024877;FAZENDA SIKUÉ-BIONERGIA;2012-08-08;765,93;125834;453009;-12,976111;-45,502500;Poço RIMAS equipado c medidor automático de nível;445502;8565448;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 33;Rios São Francisco, Grande  e outros;BA;Sem uso;2012-02-04;Rotopneumatico;AGUACENTER;114,3000;0,00;71,00;Parcial;Livre;Única;2022-07-20;20,31;;N;0,00;71,00;Formacao Urucuia;2012-05-16;Rebaixamento;;N;Bomba submersa;27,22;22,45;2,595;;;;;12,38;;2012-05-18;2012-05-16;4,90;81,00;;;27,0;10;;;;
2900024878;FAZENDA XINGU AGRI TABULEIRO III;2012-08-08;791,87;130527;453941;-13,090833;-45,661389;Poço RIMAS equipado c medidor automático de nível;428302;8552721;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 34;Rios São Francisco, Grande  e outros;BA;Sem uso;2012-01-25;Rotopneumatico;AGUACENTER;114,3000;0,00;70,00;Parcial;Livre;Única;2022-07-20;14,98;;N;0,00;70,00;Formacao Urucuia;2012-05-15;Rebaixamento;;N;Bomba submersa;18,78;16,32;6,085;;;;;14,97;;2012-05-16;2012-05-15;14,50;89,00;;;26,0;7,59;;;;
2900024879;FAZENDA XINGU AGRI TABULEIRO IV;2012-08-08;836,28;130558;455040;-13,099444;-45,844444;Poço RIMAS equipado c medidor automático de nível;408461;8551710;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 35;Rios São Francisco, Grande  e outros;BA;Sem uso;2011-12-14;Rotopneumatico;AGUACENTER;114,3000;0,00;72,00;Parcial;Livre;Única;2022-07-20;27,47;;N;0,00;72,00;Formacao Urucuia;2012-05-14;Rebaixamento;;N;Bomba submersa;34,12;27,25;1,656;;;;;11,38;;2012-05-16;2012-05-14;5,30;68,00;;;26,0;5,98;;;;
2900024880;FAZENDA SANTA MARIA;2012-08-10;876,76;125941;460455;-12,994722;-46,081944;Poço RIMAS equipado c medidor automático de nível;382664;8563194;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 36;Rios São Francisco, Grande  e outros;BA;Sem uso;2012-03-24;Rotopneumatico;AGUACENTER;114,3000;0,00;110,00;Parcial;Livre;Única;2022-07-26;71,09;;N;0,00;110,00;Formacao Urucuia;2012-05-23;Rebaixamento;;N;Bomba submersa;70,70;67,91;3,115;;;;;8,69;;2012-05-24;2012-05-23;0,10;4,00;;;26,0;1,71;;;;
2900024881;FAZENDA SÃO ROQUE;2012-08-11;864,19;123702;460705;-12,617222;-46,118056;Poço RIMAS não equipado;378565;8604930;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 37;Rios São Francisco, Grande  e outros;BA;Sem uso;2012-04-15;Rotopneumatico;AGUACENTER;114,3000;0,00;111,00;Parcial;Livre;Única;2015-09-29;70,92;;N;0,00;111,00;Formacao Urucuia;2012-05-30;Rebaixamento;;N;Bomba submersa;68,74;67,85;8,708;;;;;7,75;;2012-05-31;2012-05-30;1,00;0,00;;;29,9;1,95;;;;
2900024882;FAZENDA ALVORADA;2012-08-10;759,92;124413;453213;-12,736944;-45,536944;Poço RIMAS equipado c medidor automático de nível;441711;8591890;Rio São Francisco;Sao desiderio;Poço de monitoramento;PM 38;Rios São Francisco, Grande  e outros;BA;Sem uso;2012-02-16;Rotopneumatico;AGUACENTER;114,3000;0,00;62,00;Parcial;Livre;Única;2020-07-20;26,989;;N;0,00;62,00;Formacao Urucuia;2012-05-17;Rebaixamento;;N;Bomba submersa;33,76;26,73;1,73;;;;;12,16;;2012-05-18;2012-05-17;27,60;595,00;;;25,5;78,7;;;;
2900026863;FAZENDA GRETTER II;;755,00;115253;453643;-11,881389;-45,611944;Poço RIMAS equipado c medidor automático de nível;433353;8686484;Rio São Francisco;Barreiras;Poço de monitoramento;PM-45;Rios São Francisco, Grande  e outros;BA;Sem uso;2013-04-16;Rotopneumatico;IGUAÇU POÇOS ARTESIANOS;114,3000;0,00;127,30;Parcial;Livre;Única;2022-07-22;49,61;;N;0,00;127,30;Formacao Urucuia;2013-04-16;Rebaixamento;;N;Bomba submersa;54,84;50,20;3,793;;;;;17,6;;2013-04-16;2013-04-16;;;;;;;;;;
