,0,1,2
477,83740,-22.77,-43.68
478,83741,-22.757848,-43.685017
479,83742,-22.4,-43.67
480,83743,-22.89555555,-43.18472221
481,83744,-22.41722221,-42.97222221
482,83745,-22.25,-42.52
483,83747,-22.87,-42.02
484,83750,-22.42,-44.83
485,83752,-22.45,-44.83
486,83753,-22.52,-44.1
487,83754,-22.52,-44
488,83756,-22.9,-48.18
489,83757,-22.635766,-43.900654
490,83758,-23,-44.03
491,83760,-23.57999999,-46.87999999
492,83762,-22.62,-43.47
493,83763,-22.57999999,-43.35
494,83764,-22.57999999,-43.5
495,83765,-22.52,-43.18
496,83766,-23.32555554,-51.14166666
497,83767,-23.4,-51.91666666
498,83769,-23.15,-49.97
499,83770,-23.42,-47.58
500,83771,-23.62,-49.57
501,83772,-23.52,-46.22
502,83773,-23.083579,-48.911718
503,83774,-23.95,-48.87999999
504,83775,-24.08,-54.25
505,83776,-23.58,-48.05
506,83777,-23.12,-47.72
507,83781,-23.49638888,-46.61999999
508,83782,-23.93,-46.33
509,83783,-24.08555555,-52.38666666
510,83784,-23.0388889,-45.5158333
511,83785,-23.82,-45.42
512,83786,-23.416697,-45.114373
513,83787,-22.77,-43.45
514,83788,-23.01583333,-44.32972221
515,83789,-22.92194443,-43.68694444
516,83790,-22.87,-43.45
517,83791,-22.82,-43.22
518,83792,-22.87999999,-43.3
519,83793,-22.99,-43.37
520,83796,-22.97,-43.22
521,83798,-22.92,-43.18
522,83799,-22.97,-43.25
523,83801,-22.8711111,-43.44138888
524,83802,-22.73,-43.3
525,83803,-22.9,-43.12
526,83804,-22.51999999,-43.17999999
527,83805,-21.53694444,-42.16083333
528,83806,-22.45,-42.92999999
529,83807,-21.93583333,-42.60611111
530,83809,-23.22,-45.85
531,83810,-23.45,-45.87
532,83811,-25.01083333,-50.85361111
533,83812,-23.35,-47.85
534,83813,-24.78694444,-49.99916666
535,83814,-24.25,-49.7
536,83815,-22.92,-43.18
537,83816,-23.37,-47.87
538,83817,-23.83,-46.37
539,83819,-23.72,-46.53
540,83821,-24.67166666,-47.54583333
541,83822,-24.18,-46.78
542,83823,-23.92,-46.42
543,83824,-23.264627,-47.299742
544,83826,-25.55,-54.57
545,83828,-24.4,-53.73
546,83830,-24.93,-53.43
547,83834,-25.4,-51.46999999
548,83836,-25.50277777,-50.63749999
549,83837,-25.1,-50.17
550,83839,-25.47,-49.43
551,83841,-25.42,-49.28
552,83842,-25.4486111,-49.23055554
553,83843,-23.38,-46.63
554,83844,-25.5361111,-48.52833332
555,83845,-25.02,-47.93
556,83846,-23.25,-45.7
557,83847,-23.42,-45.65
558,83848,-23.47,-45.3
559,83849,-23.12,-45.13
560,83850,-23.77,-45.8
561,83851,-23.47999999,-47.42666666
562,83852,-23.43,-45.1
563,83854,-26.25,-53.62
564,83855,-22.57,-46.63
565,83856,-23.45,-46.65
566,83857,-22.97,-45.55
